county_fips,county_name,year,heatwave_events_started,heatwave_days,first_event_start_date,last_event_end_date,longest_event_duration_days,event_durations,event_ids
48061,Cameron (Brownsville),2025,14,83,2025-02-03,2025-12-28,13,"2,2,2,3,4,4,4,4,7,8,8,10,10,13",CAMERON_2025_001;CAMERON_2025_002;CAMERON_2025_003;CAMERON_2025_004;CAMERON_2025_005;CAMERON_2025_006;CAMERON_2025_007;CAMERON_2025_008;CAMERON_2025_009;CAMERON_2025_010;CAMERON_2025_011;CAMERON_2025_012;CAMERON_2025_013;CAMERON_2025_014
48141,El Paso,2015,6,15,2015-01-27,2015-12-25,4,"2,2,2,2,3,4",EL_2015_001;EL_2015_002;EL_2015_003;EL_2015_004;EL_2015_005;EL_2015_006
48141,El Paso,2016,6,20,2016-02-18,2016-12-24,5,"2,3,3,3,4,5",EL_2016_001;EL_2016_002;EL_2016_003;EL_2016_004;EL_2016_005;EL_2016_006
48141,El Paso,2017,23,96,2017-01-04,2017-12-26,10,"2,2,2,2,2,2,2,3,3,3,3,3,4,4,4,5,5,5,6,6,8,10,10",EL_2017_001;EL_2017_002;EL_2017_003;EL_2017_004;EL_2017_005;EL_2017_006;EL_2017_007;EL_2017_008;EL_2017_009;EL_2017_010;EL_2017_011;EL_2017_012;EL_2017_013;EL_2017_014;EL_2017_015;EL_2017_016;EL_2017_017;EL_2017_018;EL_2017_019;EL_2017_020;EL_2017_021;EL_2017_022;EL_2017_023
48141,El Paso,2018,20,70,2018-01-09,2018-12-19,7,"2,2,2,2,2,2,2,2,3,3,3,3,3,4,4,5,6,6,7,7",EL_2018_001;EL_2018_002;EL_2018_003;EL_2018_004;EL_2018_005;EL_2018_006;EL_2018_007;EL_2018_008;EL_2018_009;EL_2018_010;EL_2018_011;EL_2018_012;EL_2018_013;EL_2018_014;EL_2018_015;EL_2018_016;EL_2018_017;EL_2018_018;EL_2018_019;EL_2018_020
48141,El Paso,2019,29,82,2019-01-10,2019-12-15,5,"2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,4,4,4,4,4,5,5,5",EL_2019_001;EL_2019_002;EL_2019_003;EL_2019_004;EL_2019_005;EL_2019_006;EL_2019_007;EL_2019_008;EL_2019_009;EL_2019_010;EL_2019_011;EL_2019_012;EL_2019_013;EL_2019_014;EL_2019_015;EL_2019_016;EL_2019_017;EL_2019_018;EL_2019_019;EL_2019_020;EL_2019_021;EL_2019_022;EL_2019_023;EL_2019_024;EL_2019_025;EL_2019_026;EL_2019_027;EL_2019_028;EL_2019_029
48141,El Paso,2020,16,53,2020-01-15,2020-11-23,9,"2,2,2,2,2,2,2,2,3,3,3,4,4,5,6,9",EL_2020_001;EL_2020_002;EL_2020_003;EL_2020_004;EL_2020_005;EL_2020_006;EL_2020_007;EL_2020_008;EL_2020_009;EL_2020_010;EL_2020_011;EL_2020_012;EL_2020_013;EL_2020_014;EL_2020_015;EL_2020_016
48141,El Paso,2021,15,45,2021-01-29,2021-12-28,7,"2,2,2,2,2,2,2,2,2,3,3,4,5,5,7",EL_2021_001;EL_2021_002;EL_2021_003;EL_2021_004;EL_2021_005;EL_2021_006;EL_2021_007;EL_2021_008;EL_2021_009;EL_2021_010;EL_2021_011;EL_2021_012;EL_2021_013;EL_2021_014;EL_2021_015
48141,El Paso,2022,17,53,2022-01-07,2023-01-02,9,"2,2,2,2,2,2,2,2,2,3,3,4,4,4,5,5,9",EL_2022_001;EL_2022_002;EL_2022_003;EL_2022_004;EL_2022_005;EL_2022_006;EL_2022_007;EL_2022_008;EL_2022_009;EL_2022_010;EL_2022_011;EL_2022_012;EL_2022_013;EL_2022_014;EL_2022_015;EL_2022_016;EL_2022_017
48141,El Paso,2023,20,79,2023-01-09,2023-12-23,12,"2,2,2,2,2,2,2,2,3,3,3,3,4,4,4,5,6,7,7,12",EL_2023_001;EL_2023_002;EL_2023_003;EL_2023_004;EL_2023_005;EL_2023_006;EL_2023_007;EL_2023_008;EL_2023_009;EL_2023_010;EL_2023_011;EL_2023_012;EL_2023_013;EL_2023_014;EL_2023_015;EL_2023_016;EL_2023_017;EL_2023_018;EL_2023_019;EL_2023_020
48141,El Paso,2024,22,73,2024-01-23,2024-12-31,9,"2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,4,4,5,5,6,9",EL_2024_001;EL_2024_002;EL_2024_003;EL_2024_004;EL_2024_005;EL_2024_006;EL_2024_007;EL_2024_008;EL_2024_009;EL_2024_010;EL_2024_011;EL_2024_012;EL_2024_013;EL_2024_014;EL_2024_015;EL_2024_016;EL_2024_017;EL_2024_018;EL_2024_019;EL_2024_020;EL_2024_021;EL_2024_022
48141,El Paso,2025,23,100,2025-02-02,2025-12-28,13,"2,2,2,2,2,2,2,3,3,3,3,3,4,4,4,5,5,5,5,8,8,10,13",EL_2025_001;EL_2025_002;EL_2025_003;EL_2025_004;EL_2025_005;EL_2025_006;EL_2025_007;EL_2025_008;EL_2025_009;EL_2025_010;EL_2025_011;EL_2025_012;EL_2025_013;EL_2025_014;EL_2025_015;EL_2025_016;EL_2025_017;EL_2025_018;EL_2025_019;EL_2025_020;EL_2025_021;EL_2025_022;EL_2025_023
48201,Harris (Houston),2015,18,56,2015-03-18,2015-12-26,10,"2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,4,6,10",HARRIS_2015_001;HARRIS_2015_002;HARRIS_2015_003;HARRIS_2015_004;HARRIS_2015_005;HARRIS_2015_006;HARRIS_2015_007;HARRIS_2015_008;HARRIS_2015_009;HARRIS_2015_010;HARRIS_2015_011;HARRIS_2015_012;HARRIS_2015_013;HARRIS_2015_014;HARRIS_2015_015;HARRIS_2015_016;HARRIS_2015_017;HARRIS_2015_018
48201,Harris (Houston),2016,17,91,2016-01-31,2016-12-28,14,"2,2,2,2,2,3,3,3,5,5,6,6,7,8,10,11,14",HARRIS_2016_001;HARRIS_2016_002;HARRIS_2016_003;HARRIS_2016_004;HARRIS_2016_005;HARRIS_2016_006;HARRIS_2016_007;HARRIS_2016_008;HARRIS_2016_009;HARRIS_2016_010;HARRIS_2016_011;HARRIS_2016_012;HARRIS_2016_013;HARRIS_2016_014;HARRIS_2016_015;HARRIS_2016_016;HARRIS_2016_017
48201,Harris (Houston),2017,30,101,2017-01-01,2017-12-20,12,"2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,4,4,6,8,9,12",HARRIS_2017_001;HARRIS_2017_002;HARRIS_2017_003;HARRIS_2017_004;HARRIS_2017_005;HARRIS_2017_006;HARRIS_2017_007;HARRIS_2017_008;HARRIS_2017_009;HARRIS_2017_010;HARRIS_2017_011;HARRIS_2017_012;HARRIS_2017_013;HARRIS_2017_014;HARRIS_2017_015;HARRIS_2017_016;HARRIS_2017_017;HARRIS_2017_018;HARRIS_2017_019;HARRIS_2017_020;HARRIS_2017_021;HARRIS_2017_022;HARRIS_2017_023;HARRIS_2017_024;HARRIS_2017_025;HARRIS_2017_026;HARRIS_2017_027;HARRIS_2017_028;HARRIS_2017_029;HARRIS_2017_030
48201,Harris (Houston),2018,19,59,2018-02-15,2018-12-26,7,"2,2,2,2,2,2,2,2,2,3,3,3,3,4,4,4,4,6,7",HARRIS_2018_001;HARRIS_2018_002;HARRIS_2018_003;HARRIS_2018_004;HARRIS_2018_005;HARRIS_2018_006;HARRIS_2018_007;HARRIS_2018_008;HARRIS_2018_009;HARRIS_2018_010;HARRIS_2018_011;HARRIS_2018_012;HARRIS_2018_013;HARRIS_2018_014;HARRIS_2018_015;HARRIS_2018_016;HARRIS_2018_017;HARRIS_2018_018;HARRIS_2018_019
48201,Harris (Houston),2019,15,58,2019-01-07,2019-11-30,11,"2,2,2,2,2,2,2,2,3,4,4,5,6,9,11",HARRIS_2019_001;HARRIS_2019_002;HARRIS_2019_003;HARRIS_2019_004;HARRIS_2019_005;HARRIS_2019_006;HARRIS_2019_007;HARRIS_2019_008;HARRIS_2019_009;HARRIS_2019_010;HARRIS_2019_011;HARRIS_2019_012;HARRIS_2019_013;HARRIS_2019_014;HARRIS_2019_015
48201,Harris (Houston),2020,24,79,2020-01-09,2020-12-30,12,"2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,4,4,4,5,5,6,12",HARRIS_2020_001;HARRIS_2020_002;HARRIS_2020_003;HARRIS_2020_004;HARRIS_2020_005;HARRIS_2020_006;HARRIS_2020_007;HARRIS_2020_008;HARRIS_2020_009;HARRIS_2020_010;HARRIS_2020_011;HARRIS_2020_012;HARRIS_2020_013;HARRIS_2020_014;HARRIS_2020_015;HARRIS_2020_016;HARRIS_2020_017;HARRIS_2020_018;HARRIS_2020_019;HARRIS_2020_020;HARRIS_2020_021;HARRIS_2020_022;HARRIS_2020_023;HARRIS_2020_024
48201,Harris (Houston),2021,21,78,2021-01-24,2022-01-01,10,"2,2,2,2,2,2,3,3,3,3,3,4,4,4,4,4,4,4,6,8,10",HARRIS_2021_001;HARRIS_2021_002;HARRIS_2021_003;HARRIS_2021_004;HARRIS_2021_005;HARRIS_2021_006;HARRIS_2021_007;HARRIS_2021_008;HARRIS_2021_009;HARRIS_2021_010;HARRIS_2021_011;HARRIS_2021_012;HARRIS_2021_013;HARRIS_2021_014;HARRIS_2021_015;HARRIS_2021_016;HARRIS_2021_017;HARRIS_2021_018;HARRIS_2021_019;HARRIS_2021_020;HARRIS_2021_021
48201,Harris (Houston),2022,18,66,2022-01-08,2022-12-13,9,"2,2,2,2,2,2,2,2,3,4,4,4,4,4,5,5,7,9",HARRIS_2022_001;HARRIS_2022_002;HARRIS_2022_003;HARRIS_2022_004;HARRIS_2022_005;HARRIS_2022_006;HARRIS_2022_007;HARRIS_2022_008;HARRIS_2022_009;HARRIS_2022_010;HARRIS_2022_011;HARRIS_2022_012;HARRIS_2022_013;HARRIS_2022_014;HARRIS_2022_015;HARRIS_2022_016;HARRIS_2022_017;HARRIS_2022_018
48201,Harris (Houston),2023,24,123,2023-01-01,2023-12-09,13,"2,2,2,2,2,2,2,2,3,3,3,3,3,4,5,6,7,7,7,9,10,12,12,13",HARRIS_2023_001;HARRIS_2023_002;HARRIS_2023_003;HARRIS_2023_004;HARRIS_2023_005;HARRIS_2023_006;HARRIS_2023_007;HARRIS_2023_008;HARRIS_2023_009;HARRIS_2023_010;HARRIS_2023_011;HARRIS_2023_012;HARRIS_2023_013;HARRIS_2023_014;HARRIS_2023_015;HARRIS_2023_016;HARRIS_2023_017;HARRIS_2023_018;HARRIS_2023_019;HARRIS_2023_020;HARRIS_2023_021;HARRIS_2023_022;HARRIS_2023_023;HARRIS_2023_024
48201,Harris (Houston),2024,24,108,2024-02-08,2024-12-18,12,"2,2,2,2,2,2,2,2,3,3,3,3,3,4,4,4,5,6,6,7,8,10,11,12",HARRIS_2024_001;HARRIS_2024_002;HARRIS_2024_003;HARRIS_2024_004;HARRIS_2024_005;HARRIS_2024_006;HARRIS_2024_007;HARRIS_2024_008;HARRIS_2024_009;HARRIS_2024_010;HARRIS_2024_011;HARRIS_2024_012;HARRIS_2024_013;HARRIS_2024_014;HARRIS_2024_015;HARRIS_2024_016;HARRIS_2024_017;HARRIS_2024_018;HARRIS_2024_019;HARRIS_2024_020;HARRIS_2024_021;HARRIS_2024_022;HARRIS_2024_023;HARRIS_2024_024
48201,Harris (Houston),2025,13,61,2025-02-03,2025-12-28,8,"2,2,3,3,3,3,4,4,7,7,7,8,8",HARRIS_2025_001;HARRIS_2025_002;HARRIS_2025_003;HARRIS_2025_004;HARRIS_2025_005;HARRIS_2025_006;HARRIS_2025_007;HARRIS_2025_008;HARRIS_2025_009;HARRIS_2025_010;HARRIS_2025_011;HARRIS_2025_012;HARRIS_2025_013
48303,Lubbock,2015,15,46,2015-01-18,2015-12-23,6,"2,2,2,2,2,3,3,3,3,3,3,3,4,5,6",LUBBOCK_2015_001;LUBBOCK_2015_002;LUBBOCK_2015_003;LUBBOCK_2015_004;LUBBOCK_2015_005;LUBBOCK_2015_006;LUBBOCK_2015_007;LUBBOCK_2015_008;LUBBOCK_2015_009;LUBBOCK_2015_010;LUBBOCK_2015_011;LUBBOCK_2015_012;LUBBOCK_2015_013;LUBBOCK_2015_014;LUBBOCK_2015_015
48303,Lubbock,2016,16,52,2016-01-29,2016-12-25,11,"2,2,2,2,2,2,2,3,3,3,3,3,4,4,4,11",LUBBOCK_2016_001;LUBBOCK_2016_002;LUBBOCK_2016_003;LUBBOCK_2016_004;LUBBOCK_2016_005;LUBBOCK_2016_006;LUBBOCK_2016_007;LUBBOCK_2016_008;LUBBOCK_2016_009;LUBBOCK_2016_010;LUBBOCK_2016_011;LUBBOCK_2016_012;LUBBOCK_2016_013;LUBBOCK_2016_014;LUBBOCK_2016_015;LUBBOCK_2016_016
48303,Lubbock,2017,23,65,2017-01-01,2017-12-21,6,"2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,4,4,4,4,5,6",LUBBOCK_2017_001;LUBBOCK_2017_002;LUBBOCK_2017_003;LUBBOCK_2017_004;LUBBOCK_2017_005;LUBBOCK_2017_006;LUBBOCK_2017_007;LUBBOCK_2017_008;LUBBOCK_2017_009;LUBBOCK_2017_010;LUBBOCK_2017_011;LUBBOCK_2017_012;LUBBOCK_2017_013;LUBBOCK_2017_014;LUBBOCK_2017_015;LUBBOCK_2017_016;LUBBOCK_2017_017;LUBBOCK_2017_018;LUBBOCK_2017_019;LUBBOCK_2017_020;LUBBOCK_2017_021;LUBBOCK_2017_022;LUBBOCK_2017_023
48303,Lubbock,2018,20,59,2018-01-09,2018-12-22,9,"2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,6,6,9",LUBBOCK_2018_001;LUBBOCK_2018_002;LUBBOCK_2018_003;LUBBOCK_2018_004;LUBBOCK_2018_005;LUBBOCK_2018_006;LUBBOCK_2018_007;LUBBOCK_2018_008;LUBBOCK_2018_009;LUBBOCK_2018_010;LUBBOCK_2018_011;LUBBOCK_2018_012;LUBBOCK_2018_013;LUBBOCK_2018_014;LUBBOCK_2018_015;LUBBOCK_2018_016;LUBBOCK_2018_017;LUBBOCK_2018_018;LUBBOCK_2018_019;LUBBOCK_2018_020
48303,Lubbock,2019,16,54,2019-01-06,2019-12-27,6,"2,2,2,2,2,2,2,3,3,4,4,4,5,5,6,6",LUBBOCK_2019_001;LUBBOCK_2019_002;LUBBOCK_2019_003;LUBBOCK_2019_004;LUBBOCK_2019_005;LUBBOCK_2019_006;LUBBOCK_2019_007;LUBBOCK_2019_008;LUBBOCK_2019_009;LUBBOCK_2019_010;LUBBOCK_2019_011;LUBBOCK_2019_012;LUBBOCK_2019_013;LUBBOCK_2019_014;LUBBOCK_2019_015;LUBBOCK_2019_016
48303,Lubbock,2020,18,50,2020-01-13,2020-12-10,7,"2,2,2,2,2,2,2,2,2,2,2,3,3,3,4,4,4,7",LUBBOCK_2020_001;LUBBOCK_2020_002;LUBBOCK_2020_003;LUBBOCK_2020_004;LUBBOCK_2020_005;LUBBOCK_2020_006;LUBBOCK_2020_007;LUBBOCK_2020_008;LUBBOCK_2020_009;LUBBOCK_2020_010;LUBBOCK_2020_011;LUBBOCK_2020_012;LUBBOCK_2020_013;LUBBOCK_2020_014;LUBBOCK_2020_015;LUBBOCK_2020_016;LUBBOCK_2020_017;LUBBOCK_2020_018
48303,Lubbock,2021,18,58,2021-02-02,2021-12-29,7,"2,2,2,2,2,2,2,2,2,2,3,3,3,5,5,5,7,7",LUBBOCK_2021_001;LUBBOCK_2021_002;LUBBOCK_2021_003;LUBBOCK_2021_004;LUBBOCK_2021_005;LUBBOCK_2021_006;LUBBOCK_2021_007;LUBBOCK_2021_008;LUBBOCK_2021_009;LUBBOCK_2021_010;LUBBOCK_2021_011;LUBBOCK_2021_012;LUBBOCK_2021_013;LUBBOCK_2021_014;LUBBOCK_2021_015;LUBBOCK_2021_016;LUBBOCK_2021_017;LUBBOCK_2021_018
48303,Lubbock,2022,20,61,2022-02-15,2023-01-02,6,"2,2,2,2,2,2,2,2,3,3,3,3,3,4,4,4,4,4,6,6",LUBBOCK_2022_001;LUBBOCK_2022_002;LUBBOCK_2022_003;LUBBOCK_2022_004;LUBBOCK_2022_005;LUBBOCK_2022_006;LUBBOCK_2022_007;LUBBOCK_2022_008;LUBBOCK_2022_009;LUBBOCK_2022_010;LUBBOCK_2022_011;LUBBOCK_2022_012;LUBBOCK_2022_013;LUBBOCK_2022_014;LUBBOCK_2022_015;LUBBOCK_2022_016;LUBBOCK_2022_017;LUBBOCK_2022_018;LUBBOCK_2022_019;LUBBOCK_2022_020
48303,Lubbock,2023,22,76,2023-01-09,2023-12-23,7,"2,2,2,2,2,2,2,3,3,3,3,3,3,3,4,4,4,5,5,5,5,7",LUBBOCK_2023_001;LUBBOCK_2023_002;LUBBOCK_2023_003;LUBBOCK_2023_004;LUBBOCK_2023_005;LUBBOCK_2023_006;LUBBOCK_2023_007;LUBBOCK_2023_008;LUBBOCK_2023_009;LUBBOCK_2023_010;LUBBOCK_2023_011;LUBBOCK_2023_012;LUBBOCK_2023_013;LUBBOCK_2023_014;LUBBOCK_2023_015;LUBBOCK_2023_016;LUBBOCK_2023_017;LUBBOCK_2023_018;LUBBOCK_2023_019;LUBBOCK_2023_020;LUBBOCK_2023_021;LUBBOCK_2023_022
48303,Lubbock,2024,22,81,2024-01-31,2024-12-30,12,"2,2,2,2,2,2,2,2,3,3,3,3,3,3,4,4,4,4,5,6,8,12",LUBBOCK_2024_001;LUBBOCK_2024_002;LUBBOCK_2024_003;LUBBOCK_2024_004;LUBBOCK_2024_005;LUBBOCK_2024_006;LUBBOCK_2024_007;LUBBOCK_2024_008;LUBBOCK_2024_009;LUBBOCK_2024_010;LUBBOCK_2024_011;LUBBOCK_2024_012;LUBBOCK_2024_013;LUBBOCK_2024_014;LUBBOCK_2024_015;LUBBOCK_2024_016;LUBBOCK_2024_017;LUBBOCK_2024_018;LUBBOCK_2024_019;LUBBOCK_2024_020;LUBBOCK_2024_021;LUBBOCK_2024_022
48303,Lubbock,2025,27,84,2025-02-01,2025-12-27,8,"2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,4,4,4,5,6,8,8",LUBBOCK_2025_001;LUBBOCK_2025_002;LUBBOCK_2025_003;LUBBOCK_2025_004;LUBBOCK_2025_005;LUBBOCK_2025_006;LUBBOCK_2025_007;LUBBOCK_2025_008;LUBBOCK_2025_009;LUBBOCK_2025_010;LUBBOCK_2025_011;LUBBOCK_2025_012;LUBBOCK_2025_013;LUBBOCK_2025_014;LUBBOCK_2025_015;LUBBOCK_2025_016;LUBBOCK_2025_017;LUBBOCK_2025_018;LUBBOCK_2025_019;LUBBOCK_2025_020;LUBBOCK_2025_021;LUBBOCK_2025_022;LUBBOCK_2025_023;LUBBOCK_2025_024;LUBBOCK_2025_025;LUBBOCK_2025_026;LUBBOCK_2025_027
48453,Travis (Austin),2015,4,12,2015-01-27,2015-12-24,4,"2,3,3,4",TRAVIS_2015_001;TRAVIS_2015_002;TRAVIS_2015_003;TRAVIS_2015_004
48453,Travis (Austin),2016,9,36,2016-01-31,2016-12-29,7,"2,2,3,3,4,4,5,6,7",TRAVIS_2016_001;TRAVIS_2016_002;TRAVIS_2016_003;TRAVIS_2016_004;TRAVIS_2016_005;TRAVIS_2016_006;TRAVIS_2016_007;TRAVIS_2016_008;TRAVIS_2016_009
48453,Travis (Austin),2017,13,39,2017-01-01,2017-11-07,8,"2,2,2,2,2,2,2,2,3,3,4,5,8",TRAVIS_2017_001;TRAVIS_2017_002;TRAVIS_2017_003;TRAVIS_2017_004;TRAVIS_2017_005;TRAVIS_2017_006;TRAVIS_2017_007;TRAVIS_2017_008;TRAVIS_2017_009;TRAVIS_2017_010;TRAVIS_2017_011;TRAVIS_2017_012;TRAVIS_2017_013
48453,Travis (Austin),2018,6,16,2018-02-19,2018-10-06,4,"2,2,2,2,4,4",TRAVIS_2018_001;TRAVIS_2018_002;TRAVIS_2018_003;TRAVIS_2018_004;TRAVIS_2018_005;TRAVIS_2018_006
48453,Travis (Austin),2019,8,35,2019-01-07,2019-11-21,18,"2,2,2,2,2,2,5,18",TRAVIS_2019_001;TRAVIS_2019_002;TRAVIS_2019_003;TRAVIS_2019_004;TRAVIS_2019_005;TRAVIS_2019_006;TRAVIS_2019_007;TRAVIS_2019_008
48453,Travis (Austin),2020,13,39,2020-01-09,2020-12-29,5,"2,2,2,2,2,2,3,3,3,4,4,5,5",TRAVIS_2020_001;TRAVIS_2020_002;TRAVIS_2020_003;TRAVIS_2020_004;TRAVIS_2020_005;TRAVIS_2020_006;TRAVIS_2020_007;TRAVIS_2020_008;TRAVIS_2020_009;TRAVIS_2020_010;TRAVIS_2020_011;TRAVIS_2020_012;TRAVIS_2020_013
