state,variable,year,contributing_counties,median_across_counties_f,p25_across_counties_f,p75_across_counties_f,series
FL,Tmin,2013,34,63.706,61.298,65.133,consistent_county_excluding_recent_period
FL,Tmin,2014,33,62.782,59.806,63.686,consistent_county_excluding_recent_period
FL,Tmin,2015,34,65.726,63.52,67.248,consistent_county_excluding_recent_period
FL,Tmin,2016,34,64.255,61.949,65.493,consistent_county_excluding_recent_period
FL,Tmin,2017,34,64.588,62.174,66.031,consistent_county_excluding_recent_period
FL,Tmin,2018,34,63.964,61.832,65.458,consistent_county_excluding_recent_period
FL,Tmin,2019,33,65.165,62.841,66.506,consistent_county_excluding_recent_period
LA,Tavg,1979,26,65.114,63.391,66.187,consistent_county_excluding_recent_period
LA,Tavg,1980,26,66.471,65.026,67.324,consistent_county_excluding_recent_period
LA,Tavg,1981,26,66.652,64.767,67.563,consistent_county_excluding_recent_period
LA,Tavg,1982,26,67.138,65.234,68.285,consistent_county_excluding_recent_period
LA,Tavg,1983,26,64.851,62.762,65.896,consistent_county_excluding_recent_period
LA,Tavg,1984,26,66.88,64.862,67.51,consistent_county_excluding_recent_period
LA,Tavg,1985,26,66.818,64.94,67.754,consistent_county_excluding_recent_period
LA,Tavg,1986,26,67.662,66.085,68.677,consistent_county_excluding_recent_period
LA,Tavg,1987,26,66.244,64.789,67.196,consistent_county_excluding_recent_period
LA,Tavg,1988,26,65.85,64.297,67.022,consistent_county_excluding_recent_period
LA,Tavg,1989,25,65.685,63.952,67.005,consistent_county_excluding_recent_period
LA,Tavg,1990,26,68.08,66.555,69.124,consistent_county_excluding_recent_period
LA,Tavg,1991,25,67.094,65.713,68.468,consistent_county_excluding_recent_period
LA,Tavg,1992,26,66.038,64.437,67.144,consistent_county_excluding_recent_period
LA,Tavg,1993,26,65.866,64.218,66.991,consistent_county_excluding_recent_period
LA,Tavg,1994,25,66.868,65.06,68.265,consistent_county_excluding_recent_period
LA,Tavg,1995,26,67.257,65.369,68.233,consistent_county_excluding_recent_period
LA,Tavg,1996,25,66.616,64.418,67.159,consistent_county_excluding_recent_period
LA,Tavg,1997,26,66.289,64.365,67.458,consistent_county_excluding_recent_period
LA,Tavg,1998,26,68.878,67.675,69.594,consistent_county_excluding_recent_period
LA,Tavg,1999,26,67.898,66.674,68.873,consistent_county_excluding_recent_period
LA,Tavg,2000,26,67.705,66.137,68.051,consistent_county_excluding_recent_period
LA,Tavg,2001,26,66.956,65.43,67.548,consistent_county_excluding_recent_period
LA,Tavg,2002,26,67.46,65.423,67.834,consistent_county_excluding_recent_period
LA,Tavg,2003,26,66.69,65.277,67.645,consistent_county_excluding_recent_period
LA,Tavg,2004,25,67.731,65.8,68.732,consistent_county_excluding_recent_period
LA,Tavg,2005,24,67.664,66.627,68.569,consistent_county_excluding_recent_period
LA,Tavg,2006,25,68.119,66.805,69.488,consistent_county_excluding_recent_period
LA,Tavg,2007,25,67.725,66.564,69.209,consistent_county_excluding_recent_period
LA,Tavg,2008,26,66.823,65.566,68.272,consistent_county_excluding_recent_period
LA,Tavg,2009,25,67.352,65.722,68.553,consistent_county_excluding_recent_period
LA,Tavg,2010,25,66.975,66.164,67.493,consistent_county_excluding_recent_period
LA,Tavg,2011,24,67.934,67.491,68.768,consistent_county_excluding_recent_period
LA,Tavg,2012,26,68.904,67.944,69.92,consistent_county_excluding_recent_period
LA,Tavg,2013,26,66.418,65.153,67.771,consistent_county_excluding_recent_period
LA,Tavg,2014,26,65.266,63.829,66.708,consistent_county_excluding_recent_period
LA,Tavg,2015,26,68.302,67.231,69.799,consistent_county_excluding_recent_period
LA,Tavg,2016,26,68.7,68.029,69.846,consistent_county_excluding_recent_period
LA,Tavg,2017,26,69.016,68.192,69.85,consistent_county_excluding_recent_period
LA,Tavg,2018,24,68.092,66.841,69.271,consistent_county_excluding_recent_period
LA,Tavg,2019,24,67.952,66.817,69.483,consistent_county_excluding_recent_period
LA,Tmax,1979,26,75.73,74.82,76.296,consistent_county_excluding_recent_period
LA,Tmax,1980,26,77.764,77.137,78.082,consistent_county_excluding_recent_period
LA,Tmax,1981,26,77.72,77.096,78.234,consistent_county_excluding_recent_period
LA,Tmax,1982,26,77.853,76.588,78.509,consistent_county_excluding_recent_period
LA,Tmax,1983,26,75.339,74.276,75.781,consistent_county_excluding_recent_period
LA,Tmax,1984,26,77.366,76.292,77.727,consistent_county_excluding_recent_period
LA,Tmax,1985,26,77.074,76.088,77.47,consistent_county_excluding_recent_period
LA,Tmax,1986,26,77.902,76.817,78.455,consistent_county_excluding_recent_period
LA,Tmax,1987,26,77.318,76.749,77.839,consistent_county_excluding_recent_period
LA,Tmax,1988,26,76.785,76.094,77.622,consistent_county_excluding_recent_period
LA,Tmax,1989,25,75.708,74.693,76.896,consistent_county_excluding_recent_period
LA,Tmax,1990,26,78.882,78.155,79.456,consistent_county_excluding_recent_period
LA,Tmax,1991,25,76.879,76.177,77.625,consistent_county_excluding_recent_period
LA,Tmax,1992,26,76.118,75.616,76.876,consistent_county_excluding_recent_period
LA,Tmax,1993,26,76.124,75.305,76.922,consistent_county_excluding_recent_period
LA,Tmax,1994,25,76.764,75.523,77.469,consistent_county_excluding_recent_period
LA,Tmax,1995,26,77.754,76.926,78.286,consistent_county_excluding_recent_period
LA,Tmax,1996,26,77.053,75.775,77.621,consistent_county_excluding_recent_period
LA,Tmax,1997,26,76.38,75.103,77.216,consistent_county_excluding_recent_period
LA,Tmax,1998,26,79.035,78.338,79.48,consistent_county_excluding_recent_period
LA,Tmax,1999,26,79.27,78.704,79.844,consistent_county_excluding_recent_period
LA,Tmax,2000,26,78.433,77.75,79.184,consistent_county_excluding_recent_period
LA,Tmax,2001,26,77.376,76.343,78.181,consistent_county_excluding_recent_period
LA,Tmax,2002,26,77.165,76.426,77.678,consistent_county_excluding_recent_period
LA,Tmax,2003,26,76.937,76.279,77.542,consistent_county_excluding_recent_period
LA,Tmax,2004,26,77.627,76.252,78.377,consistent_county_excluding_recent_period
LA,Tmax,2005,24,78.774,78.087,79.18,consistent_county_excluding_recent_period
LA,Tmax,2006,25,79.224,78.354,79.915,consistent_county_excluding_recent_period
LA,Tmax,2007,25,78.106,77.364,78.912,consistent_county_excluding_recent_period
LA,Tmax,2008,26,77.832,76.732,78.29,consistent_county_excluding_recent_period
LA,Tmax,2009,25,77.642,76.242,78.323,consistent_county_excluding_recent_period
LA,Tmax,2010,25,77.546,76.938,78.039,consistent_county_excluding_recent_period
LA,Tmax,2011,24,79.164,78.776,79.63,consistent_county_excluding_recent_period
LA,Tmax,2012,26,79.474,78.925,80.164,consistent_county_excluding_recent_period
LA,Tmax,2013,26,76.589,76.182,77.465,consistent_county_excluding_recent_period
LA,Tmax,2014,26,75.892,74.755,76.687,consistent_county_excluding_recent_period
LA,Tmax,2015,26,78.582,77.459,79.377,consistent_county_excluding_recent_period
LA,Tmax,2016,26,79.066,78.597,79.636,consistent_county_excluding_recent_period
LA,Tmax,2017,26,79.099,78.361,79.542,consistent_county_excluding_recent_period
LA,Tmax,2018,24,78.279,76.993,78.656,consistent_county_excluding_recent_period
LA,Tmax,2019,24,78.504,77.178,79.169,consistent_county_excluding_recent_period
LA,Tmin,1979,26,54.516,52.0,55.612,consistent_county_excluding_recent_period
LA,Tmin,1980,26,55.147,52.892,56.549,consistent_county_excluding_recent_period
LA,Tmin,1981,26,55.523,52.754,56.792,consistent_county_excluding_recent_period
LA,Tmin,1982,26,56.196,53.949,57.854,consistent_county_excluding_recent_period
LA,Tmin,1983,26,54.064,51.697,55.826,consistent_county_excluding_recent_period
LA,Tmin,1984,26,56.082,53.231,57.711,consistent_county_excluding_recent_period
LA,Tmin,1985,26,56.406,53.77,58.24,consistent_county_excluding_recent_period
LA,Tmin,1986,26,57.317,54.957,59.0,consistent_county_excluding_recent_period
LA,Tmin,1987,26,55.167,52.906,56.531,consistent_county_excluding_recent_period
LA,Tmin,1988,26,54.972,52.469,56.356,consistent_county_excluding_recent_period
LA,Tmin,1989,25,55.338,53.296,57.067,consistent_county_excluding_recent_period
LA,Tmin,1990,26,57.287,54.984,59.111,consistent_county_excluding_recent_period
LA,Tmin,1991,25,57.709,55.574,59.547,consistent_county_excluding_recent_period
LA,Tmin,1992,26,56.244,53.658,57.462,consistent_county_excluding_recent_period
LA,Tmin,1993,26,55.51,52.935,57.324,consistent_county_excluding_recent_period
LA,Tmin,1994,25,56.978,54.123,58.985,consistent_county_excluding_recent_period
LA,Tmin,1995,26,56.614,53.99,58.176,consistent_county_excluding_recent_period
LA,Tmin,1996,25,56.026,53.659,57.532,consistent_county_excluding_recent_period
LA,Tmin,1997,26,56.1,53.375,58.155,consistent_county_excluding_recent_period
LA,Tmin,1998,26,58.768,56.663,60.039,consistent_county_excluding_recent_period
LA,Tmin,1999,26,56.433,54.365,58.267,consistent_county_excluding_recent_period
LA,Tmin,2000,26,56.178,54.532,57.8,consistent_county_excluding_recent_period
LA,Tmin,2001,26,56.309,54.711,57.432,consistent_county_excluding_recent_period
LA,Tmin,2002,26,57.406,54.892,57.917,consistent_county_excluding_recent_period
LA,Tmin,2003,26,56.516,54.354,57.532,consistent_county_excluding_recent_period
LA,Tmin,2004,25,57.385,55.549,59.029,consistent_county_excluding_recent_period
LA,Tmin,2005,24,56.252,55.248,57.972,consistent_county_excluding_recent_period
LA,Tmin,2006,25,57.169,55.232,58.979,consistent_county_excluding_recent_period
LA,Tmin,2007,25,57.364,55.64,59.507,consistent_county_excluding_recent_period
LA,Tmin,2008,26,56.161,54.184,57.785,consistent_county_excluding_recent_period
LA,Tmin,2009,25,57.054,54.85,58.434,consistent_county_excluding_recent_period
LA,Tmin,2010,25,55.963,54.515,57.295,consistent_county_excluding_recent_period
LA,Tmin,2011,24,56.62,55.41,57.86,consistent_county_excluding_recent_period
LA,Tmin,2012,26,58.272,56.808,60.037,consistent_county_excluding_recent_period
LA,Tmin,2013,26,55.939,54.257,57.906,consistent_county_excluding_recent_period
LA,Tmin,2014,26,54.681,53.546,56.83,consistent_county_excluding_recent_period
LA,Tmin,2015,26,57.79,56.771,60.324,consistent_county_excluding_recent_period
LA,Tmin,2016,26,58.171,57.505,60.197,consistent_county_excluding_recent_period
LA,Tmin,2017,26,59.216,57.572,60.511,consistent_county_excluding_recent_period
LA,Tmin,2018,24,57.958,56.705,59.838,consistent_county_excluding_recent_period
LA,Tmin,2019,24,58.25,56.487,59.834,consistent_county_excluding_recent_period
MS,Tavg,1979,18,62.398,60.462,63.962,consistent_county_excluding_recent_period
MS,Tavg,1980,18,63.948,62.139,65.199,consistent_county_excluding_recent_period
MS,Tavg,1981,18,63.934,62.331,65.1,consistent_county_excluding_recent_period
MS,Tavg,1982,17,65.507,63.362,66.145,consistent_county_excluding_recent_period
MS,Tavg,1983,18,62.6,61.171,63.592,consistent_county_excluding_recent_period
MS,Tavg,1984,18,63.625,62.249,65.697,consistent_county_excluding_recent_period
MS,Tavg,1985,17,63.457,61.34,65.348,consistent_county_excluding_recent_period
MS,Tavg,1986,18,65.163,63.528,66.388,consistent_county_excluding_recent_period
MS,Tavg,1987,17,64.181,62.841,65.116,consistent_county_excluding_recent_period
MS,Tavg,1988,18,63.748,62.409,64.576,consistent_county_excluding_recent_period
MS,Tavg,1989,18,63.22,61.474,64.371,consistent_county_excluding_recent_period
MS,Tavg,1990,18,65.641,64.437,67.318,consistent_county_excluding_recent_period
MS,Tavg,1991,17,65.773,63.388,66.951,consistent_county_excluding_recent_period
MS,Tavg,1992,17,63.905,62.413,65.137,consistent_county_excluding_recent_period
MS,Tavg,1993,18,63.518,61.456,64.935,consistent_county_excluding_recent_period
MS,Tavg,1994,18,64.333,62.329,65.904,consistent_county_excluding_recent_period
MS,Tavg,1995,17,64.544,63.512,65.657,consistent_county_excluding_recent_period
MS,Tavg,1996,17,64.251,61.309,65.147,consistent_county_excluding_recent_period
MS,Tavg,1997,13,64.932,63.193,65.569,consistent_county_excluding_recent_period
MS,Tavg,1998,17,65.834,64.89,67.545,consistent_county_excluding_recent_period
MS,Tavg,1999,16,65.162,64.076,67.156,consistent_county_excluding_recent_period
MS,Tavg,2000,18,64.729,63.082,66.466,consistent_county_excluding_recent_period
MS,Tavg,2001,18,64.063,62.311,66.051,consistent_county_excluding_recent_period
MS,Tavg,2002,16,65.086,62.449,66.788,consistent_county_excluding_recent_period
MS,Tavg,2003,18,63.938,61.76,65.395,consistent_county_excluding_recent_period
MS,Tavg,2004,17,64.997,62.478,65.988,consistent_county_excluding_recent_period
MS,Tavg,2005,18,64.878,63.257,66.42,consistent_county_excluding_recent_period
MS,Tavg,2006,18,65.786,63.67,66.843,consistent_county_excluding_recent_period
MS,Tavg,2007,17,66.382,64.274,67.203,consistent_county_excluding_recent_period
MS,Tavg,2008,18,64.433,61.742,65.744,consistent_county_excluding_recent_period
MS,Tavg,2009,18,64.613,62.211,66.181,consistent_county_excluding_recent_period
MS,Tavg,2010,18,64.537,62.641,65.238,consistent_county_excluding_recent_period
MS,Tavg,2011,18,64.846,63.162,66.515,consistent_county_excluding_recent_period
MS,Tavg,2012,18,65.966,64.448,67.596,consistent_county_excluding_recent_period
MS,Tavg,2013,18,63.122,61.686,65.482,consistent_county_excluding_recent_period
MS,Tavg,2014,18,62.588,61.046,64.798,consistent_county_excluding_recent_period
MS,Tavg,2015,18,65.47,63.6,67.93,consistent_county_excluding_recent_period
MS,Tavg,2016,18,67.254,64.787,68.161,consistent_county_excluding_recent_period
MS,Tavg,2017,18,67.101,64.589,67.814,consistent_county_excluding_recent_period
MS,Tavg,2018,18,65.352,63.53,67.338,consistent_county_excluding_recent_period
MS,Tavg,2019,18,65.846,64.231,67.794,consistent_county_excluding_recent_period
MS,Tmax,1979,25,73.632,71.245,75.546,consistent_county_excluding_recent_period
MS,Tmax,1980,25,76.136,73.338,77.359,consistent_county_excluding_recent_period
MS,Tmax,1981,25,75.693,73.68,77.386,consistent_county_excluding_recent_period
MS,Tmax,1982,24,76.882,73.514,77.999,consistent_county_excluding_recent_period
MS,Tmax,1983,25,73.655,71.804,74.868,consistent_county_excluding_recent_period
MS,Tmax,1984,25,75.904,73.322,77.247,consistent_county_excluding_recent_period
MS,Tmax,1985,25,75.856,72.998,76.741,consistent_county_excluding_recent_period
MS,Tmax,1986,25,76.875,75.603,78.141,consistent_county_excluding_recent_period
MS,Tmax,1987,25,75.951,74.8,77.243,consistent_county_excluding_recent_period
MS,Tmax,1988,24,75.48,73.854,76.573,consistent_county_excluding_recent_period
MS,Tmax,1989,25,74.894,72.276,75.666,consistent_county_excluding_recent_period
MS,Tmax,1990,25,78.065,75.447,78.799,consistent_county_excluding_recent_period
MS,Tmax,1991,24,76.031,73.415,76.754,consistent_county_excluding_recent_period
MS,Tmax,1992,24,74.941,73.082,75.993,consistent_county_excluding_recent_period
MS,Tmax,1993,25,74.527,72.375,76.026,consistent_county_excluding_recent_period
MS,Tmax,1994,25,75.3,73.102,76.315,consistent_county_excluding_recent_period
MS,Tmax,1995,24,76.042,73.989,77.045,consistent_county_excluding_recent_period
MS,Tmax,1996,25,75.228,73.151,76.24,consistent_county_excluding_recent_period
MS,Tmax,1997,22,74.706,72.312,76.078,consistent_county_excluding_recent_period
MS,Tmax,1998,24,77.62,75.541,78.426,consistent_county_excluding_recent_period
MS,Tmax,1999,24,78.184,75.895,78.954,consistent_county_excluding_recent_period
MS,Tmax,2000,24,77.518,74.991,78.21,consistent_county_excluding_recent_period
MS,Tmax,2001,24,75.694,74.416,76.957,consistent_county_excluding_recent_period
MS,Tmax,2002,25,76.336,73.359,76.921,consistent_county_excluding_recent_period
MS,Tmax,2003,25,75.361,73.712,76.495,consistent_county_excluding_recent_period
MS,Tmax,2004,25,75.636,74.291,76.898,consistent_county_excluding_recent_period
MS,Tmax,2005,25,76.898,75.248,77.717,consistent_county_excluding_recent_period
MS,Tmax,2006,25,78.037,75.971,78.859,consistent_county_excluding_recent_period
MS,Tmax,2007,24,77.846,76.74,78.477,consistent_county_excluding_recent_period
MS,Tmax,2008,24,76.421,73.758,77.187,consistent_county_excluding_recent_period
MS,Tmax,2009,25,75.67,73.188,77.139,consistent_county_excluding_recent_period
MS,Tmax,2010,24,75.97,74.97,76.75,consistent_county_excluding_recent_period
MS,Tmax,2011,25,77.489,75.044,77.934,consistent_county_excluding_recent_period
MS,Tmax,2012,25,78.021,76.391,78.449,consistent_county_excluding_recent_period
MS,Tmax,2013,24,74.601,72.65,76.23,consistent_county_excluding_recent_period
MS,Tmax,2014,25,74.892,72.443,75.784,consistent_county_excluding_recent_period
MS,Tmax,2015,24,77.108,74.324,78.315,consistent_county_excluding_recent_period
MS,Tmax,2016,25,78.636,76.621,79.146,consistent_county_excluding_recent_period
MS,Tmax,2017,25,77.556,75.927,78.518,consistent_county_excluding_recent_period
MS,Tmax,2018,24,76.55,74.277,78.002,consistent_county_excluding_recent_period
MS,Tmax,2019,24,77.104,75.252,78.386,consistent_county_excluding_recent_period
MS,Tmin,1979,18,51.408,49.721,52.503,consistent_county_excluding_recent_period
MS,Tmin,1980,18,52.084,50.209,53.108,consistent_county_excluding_recent_period
MS,Tmin,1981,18,52.034,49.584,52.965,consistent_county_excluding_recent_period
MS,Tmin,1982,17,54.001,51.947,55.288,consistent_county_excluding_recent_period
MS,Tmin,1983,18,51.579,50.081,52.85,consistent_county_excluding_recent_period
MS,Tmin,1984,18,52.415,51.082,54.124,consistent_county_excluding_recent_period
MS,Tmin,1985,17,52.21,51.27,53.945,consistent_county_excluding_recent_period
MS,Tmin,1986,18,53.142,52.331,55.159,consistent_county_excluding_recent_period
MS,Tmin,1987,17,52.732,51.281,53.475,consistent_county_excluding_recent_period
MS,Tmin,1988,18,51.284,50.087,53.07,consistent_county_excluding_recent_period
MS,Tmin,1989,18,52.186,50.667,53.399,consistent_county_excluding_recent_period
MS,Tmin,1990,18,53.957,52.656,55.576,consistent_county_excluding_recent_period
MS,Tmin,1991,17,55.092,52.914,56.062,consistent_county_excluding_recent_period
MS,Tmin,1992,17,52.442,50.928,53.67,consistent_county_excluding_recent_period
MS,Tmin,1993,18,52.79,50.306,53.417,consistent_county_excluding_recent_period
MS,Tmin,1994,18,53.648,51.329,54.685,consistent_county_excluding_recent_period
MS,Tmin,1995,17,53.167,50.966,53.982,consistent_county_excluding_recent_period
MS,Tmin,1996,17,52.846,50.703,53.91,consistent_county_excluding_recent_period
MS,Tmin,1997,15,52.836,51.701,54.763,consistent_county_excluding_recent_period
MS,Tmin,1998,17,55.286,53.961,56.611,consistent_county_excluding_recent_period
MS,Tmin,1999,16,53.081,51.954,54.965,consistent_county_excluding_recent_period
MS,Tmin,2000,18,52.713,50.818,54.248,consistent_county_excluding_recent_period
MS,Tmin,2001,18,52.95,50.679,54.568,consistent_county_excluding_recent_period
MS,Tmin,2002,16,53.647,51.873,55.927,consistent_county_excluding_recent_period
MS,Tmin,2003,18,52.846,50.62,54.458,consistent_county_excluding_recent_period
MS,Tmin,2004,17,54.132,51.361,55.36,consistent_county_excluding_recent_period
MS,Tmin,2005,18,53.154,51.56,54.948,consistent_county_excluding_recent_period
MS,Tmin,2006,18,53.246,51.357,54.95,consistent_county_excluding_recent_period
MS,Tmin,2007,17,54.075,52.398,55.51,consistent_county_excluding_recent_period
MS,Tmin,2008,18,52.302,49.854,54.428,consistent_county_excluding_recent_period
MS,Tmin,2009,18,53.389,51.055,55.074,consistent_county_excluding_recent_period
MS,Tmin,2010,18,52.022,50.618,53.74,consistent_county_excluding_recent_period
MS,Tmin,2011,18,52.738,51.266,54.824,consistent_county_excluding_recent_period
MS,Tmin,2012,18,53.892,52.632,56.646,consistent_county_excluding_recent_period
MS,Tmin,2013,18,52.646,50.702,54.593,consistent_county_excluding_recent_period
MS,Tmin,2014,18,51.136,49.46,53.383,consistent_county_excluding_recent_period
MS,Tmin,2015,18,54.773,52.741,57.011,consistent_county_excluding_recent_period
MS,Tmin,2016,18,54.941,52.685,56.837,consistent_county_excluding_recent_period
MS,Tmin,2017,18,55.729,53.357,57.095,consistent_county_excluding_recent_period
MS,Tmin,2018,18,54.822,52.988,56.627,consistent_county_excluding_recent_period
MS,Tmin,2019,18,55.097,53.353,56.578,consistent_county_excluding_recent_period
TX,Tavg,1979,127,63.351,61.296,65.465,consistent_county_excluding_recent_period
TX,Tavg,1980,128,65.453,63.576,67.484,consistent_county_excluding_recent_period
TX,Tavg,1981,126,65.286,63.408,67.733,consistent_county_excluding_recent_period
TX,Tavg,1982,125,65.423,62.539,68.231,consistent_county_excluding_recent_period
TX,Tavg,1983,125,63.693,61.427,65.756,consistent_county_excluding_recent_period
TX,Tavg,1984,126,65.485,63.039,68.087,consistent_county_excluding_recent_period
TX,Tavg,1985,127,65.136,63.028,67.485,consistent_county_excluding_recent_period
TX,Tavg,1986,125,66.106,64.171,68.308,consistent_county_excluding_recent_period
TX,Tavg,1987,123,64.478,62.232,66.853,consistent_county_excluding_recent_period
TX,Tavg,1988,125,64.753,62.851,67.281,consistent_county_excluding_recent_period
TX,Tavg,1989,127,64.237,61.93,67.109,consistent_county_excluding_recent_period
TX,Tavg,1990,126,65.957,63.921,68.913,consistent_county_excluding_recent_period
TX,Tavg,1991,125,64.999,63.438,67.684,consistent_county_excluding_recent_period
TX,Tavg,1992,126,64.659,62.735,67.29,consistent_county_excluding_recent_period
TX,Tavg,1993,123,64.232,61.717,66.571,consistent_county_excluding_recent_period
TX,Tavg,1994,123,65.442,62.936,68.108,consistent_county_excluding_recent_period
TX,Tavg,1995,125,65.187,62.803,68.418,consistent_county_excluding_recent_period
TX,Tavg,1996,126,65.375,62.614,68.314,consistent_county_excluding_recent_period
TX,Tavg,1997,123,64.055,61.861,66.95,consistent_county_excluding_recent_period
TX,Tavg,1998,127,67.381,65.357,69.748,consistent_county_excluding_recent_period
TX,Tavg,1999,124,66.911,65.19,69.8,consistent_county_excluding_recent_period
TX,Tavg,2000,124,66.596,64.243,69.214,consistent_county_excluding_recent_period
TX,Tavg,2001,122,65.481,63.392,67.907,consistent_county_excluding_recent_period
TX,Tavg,2002,128,64.884,62.562,67.467,consistent_county_excluding_recent_period
TX,Tavg,2003,127,65.503,63.56,67.898,consistent_county_excluding_recent_period
TX,Tavg,2004,124,65.014,63.219,67.916,consistent_county_excluding_recent_period
TX,Tavg,2005,124,66.218,64.087,68.616,consistent_county_excluding_recent_period
TX,Tavg,2006,124,67.3,65.403,69.214,consistent_county_excluding_recent_period
TX,Tavg,2007,124,65.195,63.124,67.938,consistent_county_excluding_recent_period
TX,Tavg,2008,126,65.407,63.157,68.214,consistent_county_excluding_recent_period
TX,Tavg,2009,126,65.51,63.498,68.677,consistent_county_excluding_recent_period
TX,Tavg,2010,126,65.273,63.254,67.317,consistent_county_excluding_recent_period
TX,Tavg,2011,128,67.345,65.485,69.814,consistent_county_excluding_recent_period
TX,Tavg,2012,126,67.565,66.07,69.888,consistent_county_excluding_recent_period
TX,Tavg,2013,127,64.951,63.061,67.863,consistent_county_excluding_recent_period
TX,Tavg,2014,128,64.72,62.859,67.319,consistent_county_excluding_recent_period
TX,Tavg,2015,128,65.93,63.954,68.666,consistent_county_excluding_recent_period
TX,Tavg,2016,126,66.916,65.054,70.038,consistent_county_excluding_recent_period
TX,Tavg,2017,128,67.003,65.071,69.961,consistent_county_excluding_recent_period
TX,Tavg,2018,127,65.937,63.98,68.399,consistent_county_excluding_recent_period
TX,Tavg,2019,127,65.591,63.653,68.817,consistent_county_excluding_recent_period
TX,Tmax,1979,139,75.451,73.288,77.349,consistent_county_excluding_recent_period
TX,Tmax,1980,139,78.223,76.663,79.762,consistent_county_excluding_recent_period
TX,Tmax,1981,137,77.405,75.849,79.123,consistent_county_excluding_recent_period
TX,Tmax,1982,137,77.372,74.834,79.325,consistent_county_excluding_recent_period
TX,Tmax,1983,138,75.569,73.538,77.732,consistent_county_excluding_recent_period
TX,Tmax,1984,138,77.81,75.3,79.843,consistent_county_excluding_recent_period
TX,Tmax,1985,137,77.062,74.738,78.422,consistent_county_excluding_recent_period
TX,Tmax,1986,137,77.708,75.727,79.371,consistent_county_excluding_recent_period
TX,Tmax,1987,136,76.798,75.062,78.49,consistent_county_excluding_recent_period
TX,Tmax,1988,138,77.846,75.451,79.7,consistent_county_excluding_recent_period
TX,Tmax,1989,139,76.612,74.352,78.786,consistent_county_excluding_recent_period
TX,Tmax,1990,138,77.872,76.081,79.962,consistent_county_excluding_recent_period
TX,Tmax,1991,137,76.492,74.963,78.49,consistent_county_excluding_recent_period
TX,Tmax,1992,138,76.283,74.45,78.288,consistent_county_excluding_recent_period
TX,Tmax,1993,135,75.878,74.068,78.172,consistent_county_excluding_recent_period
TX,Tmax,1994,138,77.168,75.422,79.71,consistent_county_excluding_recent_period
TX,Tmax,1995,139,77.515,75.26,79.639,consistent_county_excluding_recent_period
TX,Tmax,1996,140,78.13,75.658,80.233,consistent_county_excluding_recent_period
TX,Tmax,1997,136,75.869,73.545,77.48,consistent_county_excluding_recent_period
TX,Tmax,1998,138,79.219,77.421,80.856,consistent_county_excluding_recent_period
TX,Tmax,1999,138,79.853,77.699,81.731,consistent_county_excluding_recent_period
TX,Tmax,2000,137,78.586,76.385,80.305,consistent_county_excluding_recent_period
TX,Tmax,2001,136,76.904,75.292,78.553,consistent_county_excluding_recent_period
TX,Tmax,2002,140,76.474,74.372,78.476,consistent_county_excluding_recent_period
TX,Tmax,2003,138,77.502,76.058,78.84,consistent_county_excluding_recent_period
TX,Tmax,2004,138,76.186,74.523,78.372,consistent_county_excluding_recent_period
TX,Tmax,2005,137,78.553,76.742,80.29,consistent_county_excluding_recent_period
TX,Tmax,2006,137,80.238,78.369,81.585,consistent_county_excluding_recent_period
TX,Tmax,2007,137,76.224,74.307,78.705,consistent_county_excluding_recent_period
TX,Tmax,2008,137,78.575,75.971,80.643,consistent_county_excluding_recent_period
TX,Tmax,2009,138,78.296,75.512,80.599,consistent_county_excluding_recent_period
TX,Tmax,2010,137,77.225,75.426,78.968,consistent_county_excluding_recent_period
TX,Tmax,2011,140,80.626,78.738,82.399,consistent_county_excluding_recent_period
TX,Tmax,2012,138,80.094,78.616,81.575,consistent_county_excluding_recent_period
TX,Tmax,2013,139,77.293,75.185,79.346,consistent_county_excluding_recent_period
TX,Tmax,2014,140,77.074,74.392,78.509,consistent_county_excluding_recent_period
TX,Tmax,2015,139,77.333,75.516,79.032,consistent_county_excluding_recent_period
TX,Tmax,2016,138,78.356,77.198,80.756,consistent_county_excluding_recent_period
TX,Tmax,2017,140,79.252,77.202,81.326,consistent_county_excluding_recent_period
TX,Tmax,2018,139,77.425,76.226,79.275,consistent_county_excluding_recent_period
TX,Tmax,2019,139,77.34,75.288,79.88,consistent_county_excluding_recent_period
TX,Tmin,1979,134,51.238,48.022,54.815,consistent_county_excluding_recent_period
TX,Tmin,1980,134,52.914,49.431,56.021,consistent_county_excluding_recent_period
TX,Tmin,1981,132,53.674,50.61,56.702,consistent_county_excluding_recent_period
TX,Tmin,1982,132,52.977,49.433,57.026,consistent_county_excluding_recent_period
TX,Tmin,1983,133,51.494,48.519,54.844,consistent_county_excluding_recent_period
TX,Tmin,1984,133,52.574,49.462,56.835,consistent_county_excluding_recent_period
TX,Tmin,1985,134,53.056,50.027,56.906,consistent_county_excluding_recent_period
TX,Tmin,1986,133,54.74,51.18,57.929,consistent_county_excluding_recent_period
TX,Tmin,1987,130,52.546,48.524,56.027,consistent_county_excluding_recent_period
TX,Tmin,1988,131,51.892,48.476,55.636,consistent_county_excluding_recent_period
TX,Tmin,1989,134,51.994,48.834,56.212,consistent_county_excluding_recent_period
TX,Tmin,1990,133,54.351,50.852,57.9,consistent_county_excluding_recent_period
TX,Tmin,1991,131,53.837,50.416,58.042,consistent_county_excluding_recent_period
