state,run_id,definition_id,metric,percentile,minimum_duration,window,event_id,county_fips,county_name,climate_division,start_date,end_date,event_duration_days,months_touched,event_crosses_month,event_crosses_year,peak_day_date,peak_metric_value,peak_day_threshold_value,days_in_event,imputed_days_in_event,pct_event_days_imputed,temperature_imputation_pct,fully_imputed_county,data_complete,review_reason,disposition
TX,TMAX_P85_2D__w05,TMAX_P85_2D,TMAX,85,2,w05,48_473_2023_015_TMAX_P85_2D,48473,Waller,East Texas,2023-07-10,2023-09-12,65,3,True,False,2023-08-27,105.71,98.0,65,65,100.0,100.0,True,False,long event AND >=50% imputed days,"RETAINED - flagged for review, not deleted"
TX,TMAX_P85_2D__w15,TMAX_P85_2D,TMAX,85,2,w15,48_319_2023_014_TMAX_P85_2D,48319,Mason,Edwards Plateau,2023-07-09,2023-09-11,65,3,True,False,2023-08-17,110.48,100.49,65,0,0.0,0.0,False,True,long event,"RETAINED - flagged for review, not deleted"
TX,TMAX_P85_3D__w05,TMAX_P85_3D,TMAX,85,3,w05,48_319_2023_010_TMAX_P85_3D,48319,Mason,Edwards Plateau,2023-07-09,2023-09-11,65,3,True,False,2023-08-17,110.48,100.04,65,0,0.0,0.0,False,True,long event,"RETAINED - flagged for review, not deleted"
TX,TMAX_P85_3D__w05,TMAX_P85_3D,TMAX,85,3,w05,48_473_2023_012_TMAX_P85_3D,48473,Waller,East Texas,2023-07-10,2023-09-12,65,3,True,False,2023-08-27,105.71,98.0,65,65,100.0,100.0,True,False,long event AND >=50% imputed days,"RETAINED - flagged for review, not deleted"
TX,TMAX_P85_3D__w15,TMAX_P85_3D,TMAX,85,3,w15,48_319_2023_010_TMAX_P85_3D,48319,Mason,Edwards Plateau,2023-07-09,2023-09-11,65,3,True,False,2023-08-17,110.48,100.49,65,0,0.0,0.0,False,True,long event,"RETAINED - flagged for review, not deleted"
TX,TMAX_P85_2D__month,TMAX_P85_2D,TMAX,85,2,month,48_319_2023_012_TMAX_P85_2D,48319,Mason,Edwards Plateau,2023-07-09,2023-08-28,51,2,True,False,2023-08-17,110.48,100.04,51,0,0.0,0.0,False,True,long event,"RETAINED - flagged for review, not deleted"
TX,TMAX_P85_2D__month_pm7,TMAX_P85_2D,TMAX,85,2,month_pm7,48_319_2023_012_TMAX_P85_2D,48319,Mason,Edwards Plateau,2023-07-09,2023-08-28,51,2,True,False,2023-08-17,110.48,100.04,51,0,0.0,0.0,False,True,long event,"RETAINED - flagged for review, not deleted"
TX,TMAX_P85_2D__w05,TMAX_P85_2D,TMAX,85,2,w05,48_291_2023_012_TMAX_P85_2D,48291,Liberty,Upper Coast,2023-07-09,2023-08-28,51,2,True,False,2023-08-20,107.72,97.34,51,0,0.0,0.0,False,True,long event,"RETAINED - flagged for review, not deleted"
TX,TMAX_P85_2D__w05,TMAX_P85_2D,TMAX,85,2,w05,48_471_2023_012_TMAX_P85_2D,48471,Walker,East Texas,2023-07-09,2023-08-28,51,2,True,False,2023-08-20,107.96,98.96,51,0,0.0,0.0,False,True,long event,"RETAINED - flagged for review, not deleted"
TX,TMAX_P85_3D__month,TMAX_P85_3D,TMAX,85,3,month,48_319_2023_009_TMAX_P85_3D,48319,Mason,Edwards Plateau,2023-07-09,2023-08-28,51,2,True,False,2023-08-17,110.48,100.04,51,0,0.0,0.0,False,True,long event,"RETAINED - flagged for review, not deleted"
TX,TMAX_P85_3D__month_pm7,TMAX_P85_3D,TMAX,85,3,month_pm7,48_319_2023_009_TMAX_P85_3D,48319,Mason,Edwards Plateau,2023-07-09,2023-08-28,51,2,True,False,2023-08-17,110.48,100.04,51,0,0.0,0.0,False,True,long event,"RETAINED - flagged for review, not deleted"
TX,TMAX_P85_3D__w05,TMAX_P85_3D,TMAX,85,3,w05,48_291_2023_008_TMAX_P85_3D,48291,Liberty,Upper Coast,2023-07-09,2023-08-28,51,2,True,False,2023-08-20,107.72,97.34,51,0,0.0,0.0,False,True,long event,"RETAINED - flagged for review, not deleted"
TX,TMAX_P85_3D__w05,TMAX_P85_3D,TMAX,85,3,w05,48_471_2023_011_TMAX_P85_3D,48471,Walker,East Texas,2023-07-09,2023-08-28,51,2,True,False,2023-08-20,107.96,98.96,51,0,0.0,0.0,False,True,long event,"RETAINED - flagged for review, not deleted"
TX,TMAX_P85_2D__month,TMAX_P85_2D,TMAX,85,2,month,48_339_2023_010_TMAX_P85_2D,48339,Montgomery,East Texas,2023-07-09,2023-08-27,50,2,True,False,2023-08-27,109.18,98.96,50,0,0.0,0.0,False,True,long event,"RETAINED - flagged for review, not deleted"
TX,TMAX_P85_2D__month,TMAX_P85_2D,TMAX,85,2,month,48_473_2023_012_TMAX_P85_2D,48473,Waller,East Texas,2023-07-10,2023-08-28,50,2,True,False,2023-08-27,105.71,98.64,50,50,100.0,100.0,True,False,long event AND >=50% imputed days,"RETAINED - flagged for review, not deleted"
TX,TMAX_P85_2D__month_pm7,TMAX_P85_2D,TMAX,85,2,month_pm7,48_291_2023_010_TMAX_P85_2D,48291,Liberty,Upper Coast,2023-07-10,2023-08-28,50,2,True,False,2023-08-20,107.72,96.74,50,0,0.0,0.0,False,True,long event,"RETAINED - flagged for review, not deleted"
TX,TMAX_P85_2D__w05,TMAX_P85_2D,TMAX,85,2,w05,48_407_2023_014_TMAX_P85_2D,48407,San Jacinto,East Texas,2023-07-10,2023-08-28,50,2,True,False,2023-08-20,106.6,100.04,50,50,100.0,100.0,True,False,long event AND >=50% imputed days,"RETAINED - flagged for review, not deleted"
TX,TMAX_P85_2D__w15,TMAX_P85_2D,TMAX,85,2,w15,48_339_2023_013_TMAX_P85_2D,48339,Montgomery,East Texas,2023-07-09,2023-08-27,50,2,True,False,2023-08-27,109.18,98.32,50,0,0.0,0.0,False,True,long event,"RETAINED - flagged for review, not deleted"
TX,TMAX_P85_2D__w15,TMAX_P85_2D,TMAX,85,2,w15,48_407_2023_013_TMAX_P85_2D,48407,San Jacinto,East Texas,2023-07-10,2023-08-28,50,2,True,False,2023-08-20,106.6,98.96,50,50,100.0,100.0,True,False,long event AND >=50% imputed days,"RETAINED - flagged for review, not deleted"
TX,TMAX_P85_2D__w15,TMAX_P85_2D,TMAX,85,2,w15,48_473_2023_014_TMAX_P85_2D,48473,Waller,East Texas,2023-07-10,2023-08-28,50,2,True,False,2023-08-27,105.71,98.14,50,50,100.0,100.0,True,False,long event AND >=50% imputed days,"RETAINED - flagged for review, not deleted"
